city,popularity,description,image,rating,rating_count,positive_review,negative_review
Bangkok,"1,826,295 reviews and opinions","Bangkok is full of exquisitely decorated Buddhist temples—as you go from one to the next you’ll be continually blown away by the craftsmanship and elabourate details. But if you’d rather seek enlightenment in a gourmet meal, or dance the night away, you’ll also enjoy Bangkok—the restaurant and nightclub scenes here are among the best in the world.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/fb/55/bangkok.jpg,7,125000,20000,5000
London,"6,346,416 reviews and opinions","There's so much to see and do in London, it's easy to be overwhelmed. Major sights like the Tower of London and Buckingham Palace are on most visitors' itineraries, but no matter what your interests, you'll probably find something here. Art lovers should make a beeline for the National Gallery and the Tate Modern. If military history's your thing, don't miss the Cabinet War Rooms. Finally, forget everything you've heard about bland, mushy British food—the restaurant scene here is fabulous.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f5/de/london.jpg,9,1400000,200000,60000
Paris,"4,492,553 reviews and opinions","Everyone who visits Paris for the first time probably has the same punchlist of major attractions to hit: The Louvre, Notre Dame, The Eiffel Tower, etc. Just make sure you leave some time to wander the city’s grand boulevards and eat in as many cafes, bistros and brasseries as possible. And don’t forget the shopping—whether your tastes run to Louis Vuitton or Les Puces (the flea market), you can find it here.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/17/14/f3/bd/paris.jpg,7,2500000,250000,180000
Dublin,"1,200,943 reviews and opinions","You've probably heard that Guinness tastes better in Dublin (fresh from the factory), but what you may not know is that Dublin is a perfect destination for the whole family. No, we're not suggesting you let the kiddies drink a pint. Instead, take them to the Dublin Zoo, to feed the ducks in Stephen's Green or on a picnic in Phoenix Park. Scholars enjoy walking in the literary footsteps of such writers as Yeats and Joyce, while discerning shoppers have their pick of designer boutiques.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/0e/dublin.jpg,9,100000,8700,1200
Hvar,"57,145 reviews and opinions","As the island retreat of choice for European jetsetters and celebrities alike, it’s easy to see why Hvar grabs headlines. Sun-soaked beaches, lavender-scented hinterlands, and cobbled medieval towns provide a welcome change of pace from the seemingly endless choice of restaurants, bars, and nightclubs.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/10/5a/f0/9b/img-20170722-133227-largejpg.jpg,9,143000,16000,3400
Amsterdam,"1,734,783 reviews and opinions","Amsterdam is truly a biker’s city, although pedaling along the labyrinthine streets can get a little chaotic. Stick to walking and you won’t be disappointed. The gentle canals make a perfect backdrop for exploring the Jordaan and Rembrandtplein square. Pop into the Red Light District if you must—if only so you can say you’ve been there. The Anne Frank House is one of the most moving experiences a traveller can have, and the Van Gogh Museum boasts a sensational collection of works.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f9/34/amsterdam.jpg,2,260000,10000,9000
Ibiza,"478,048 reviews and opinions","Ibiza: Old Spanish for ""party 'til you drop."" Perhaps not literally, but this is definitely one of Europe's favourite nightlife playgrounds. Ibiza boasts more than 100 miles of coastline with some 50 beaches, plus plenty of restaurants, bars, and water sports—and clubs, of course. Fit in a little culture and visit Ibiza's UNESCO-designated old town.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/14/10/2e/a4/ibiza.jpg,5,478000,15000,8000
Berlin,"1,585,740 reviews and opinions","In progressive Berlin, the old buildings of Mitte gracefully coexist with the modern Reichstag. Don't miss top historical sights like the Berlin Wall, Checkpoint Charlie, the Brandenburg Gate and Potsdamer Platz.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/65/berlin.jpg,5,675000,35000,32000
Madrid,"2,284,765 reviews and opinions","Madrid is the financial and cultural hub for Spain, and much of Southern Europe. There is a huge amount to see and do there, as well as excellent nightlife in terms of bars, restaurants, clubs and entertainment. As the area has been inhabited since Roman times, there are also plenty of historical sites to explore and enjoy. At the other extreme, you can also visit the Bernabéu stadium, home of Spanish football giant Real Madrid. This is usually popular with the younger members of the family, and many of the older ones! For art lovers you are torn between the Prado Museum, with works from the 12th to 19th Centuries including Goya, Velasquez and Rubens, or you can go to the Reina Sofia Museum for art from the 20th Century and beyond. The Reina Sofia houses Picasso's most famous painting Guernica, as well as key works by artists such as Salvador Dali - it gets incredibly busy but is a crucial place to visit!",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/d9/madrid.jpg,7,950000,70000,20000
Marmaris,"202,371 reviews and opinions","A gorgeous backdrop of pine-clad mountains looms behind the seaside resort of Marmaris in southwest Turkey. Popular as a cruise ship and yacht port and with the British budget holiday crowd, Marmaris offers an abundance of fast food restaurants, the restored castle of Suleyman the Magnificent and an appealing cobblestoned old quarter. Outside the busy town, coves and bays of the Datça Peninsula make lovely daytrip destinations for those travelling by boat.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/10/54/ac/bf/dsc-0251-largejpg.jpg,10,570000,70000,5000
Milan,"2,076,078 reviews and opinions","History lovers should know that Milan is not all about trendy shops and designer clothes. Among the city's many historical attractions are La Scala Opera, the Milan Cathedral, the National Museum of Science and Technology and Santa Maria della Grazie, the church that preserves da Vinci's ""Last Supper"".",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f8/04/milan.jpg,9,1200000,200000,14000
Brighton,"366,715 reviews and opinions","Londoners have been traveing to Brighton for beach getaways ever since the railway arrived here in 1841. The pebbled beach, Brighton Pier's amusement arcade and the Royal Pavilion are the main sights, but you'll also find hundreds of pubs and clubs catering to an energetic crowd.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/14/10/2e/0f/brighton.jpg,9,720000,68000,12000
Athens,"672,437 reviews and opinions","Once known for smog, traffic and tacky architecture, Athens is a city reformed thanks to fortunes brought by the 2004 Summer Olympics. Spotless parks and streets, an ultra-modern metro, new motorways, an accessible airport and all signs in perfect English make the city easily negotiable. Meriting more than a stopover en route to the islands, sophisticated Athens sites include many pillars of Western history, from the Acropolis to the Temple of Olympian Zeus, as well as treasures in the National Archaeological Museum.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f9/4c/athens.jpg,8,650000,72000,13500
Venice,"1,220,729 reviews and opinions","With its gondolas, canals, amazing restaurants, and unforgettable romantic ambiance, Venice is definitely a city for one's bucket list. Waterfront palazzos, palaces, and churches make drifting down the Grand Canal feel like cruising through a painting. To really experience Venice you must go to the opera or to a classical music performance, nibble fresh pasta and pastries, and linger in the exhibit halls of an art gallery. Label lovers will drool over the high-end shopping in Piazza San Marco.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4e/87/venice.jpg,8,845000,100000,20000
Moscow,"786,872 reviews and opinions","The political, scientific, historical, architectural and business centre of Russia, Moscow displays the country's contrasts at their most extreme. The ancient and modern exist side by side in this city of 10 million. Catch a metro from one of the ornate stations to see Red Square, the Kremlin, the nine domes of St Basil's Cathedral, Lenin's Mausoleum, the KGB Museum and other symbols of Moscow's great and terrible past, then lighten up and go shopping in Boulevard Ring, or people-watch in Pushkin Square.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/fd/62/moscow.jpg,1,890000,5000,80000
