,city,popularity,description,image,rating,rating_count,positive_review,negative_review
10,Bangkok,"1,826,295 reviews and opinions","bangkok full exquisitely decorated buddhist temples—as go one next you’ll continually blown away craftsmanship elabourate details. you’d rather seek enlightenment gourmet meal, dance night away, you’ll also enjoy bangkok—the restaurant nightclub scenes among best world.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/fb/55/bangkok.jpg,7,125000,20000,5000
11,London,"6,346,416 reviews and opinions","there's much see london, easy overwhelmed. major sights like tower london buckingham palace visitors' itineraries, matter interests, probably find something here. art lovers make beeline national gallery tate modern. military history's thing, miss cabinet war rooms. finally, forget everything heard bland, mushy british food—the restaurant scene fabulous.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f5/de/london.jpg,9,1400000,200000,60000
12,Paris,"4,492,553 reviews and opinions","everyone visits paris first time probably punchlist major attractions hit: louvre, notre dame, eiffel tower, etc. make sure leave time wander city’s grand boulevards eat many cafes, bistros brasseries possible. don’t forget shopping—whether tastes run louis vuitton les puces (the flea market), find here.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/17/14/f3/bd/paris.jpg,7,2500000,250000,180000
13,Dublin,"1,200,943 reviews and opinions","probably heard guinness tastes better dublin (fresh factory), may know dublin perfect destination whole family. no, we're suggesting let kiddies drink pint. instead, take dublin zoo, feed ducks stephen's green picnic phoenix park. scholars enjoy walking literary footsteps writers yeats joyce, discerning shoppers pick designer boutiques.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/0e/dublin.jpg,9,100000,8700,1200
14,Hvar,"57,145 reviews and opinions","island retreat choice european jetsetters celebrities alike, it’s easy see hvar grabs headlines. sun-soaked beaches, lavender-scented hinterlands, cobbled medieval towns provide welcome change pace seemingly endless choice restaurants, bars, nightclubs.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/10/5a/f0/9b/img-20170722-133227-largejpg.jpg,9,143000,16000,3400
15,Amsterdam,"1,734,783 reviews and opinions","amsterdam truly biker’s city, although pedaling along labyrinthine streets get little chaotic. stick walking won’t disappointed. gentle canals make perfect backdrop exploring jordaan rembrandtplein square. pop red light district must—if say you’ve there. anne frank house one moving experiences traveller have, van gogh museum boasts sensational collection works.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f9/34/amsterdam.jpg,2,260000,10000,9000
16,Ibiza,"478,048 reviews and opinions","ibiza: old spanish ""party 'til drop."" perhaps literally, definitely one europe's favourite nightlife playgrounds. ibiza boasts 100 miles coastline 50 beaches, plus plenty restaurants, bars, water sports—and clubs, course. fit little culture visit ibiza's unesco-designated old town.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/14/10/2e/a4/ibiza.jpg,5,478000,15000,8000
17,Berlin,"1,585,740 reviews and opinions","progressive berlin, old buildings mitte gracefully coexist modern reichstag. miss top historical sights like berlin wall, checkpoint charlie, brandenburg gate potsdamer platz.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/65/berlin.jpg,5,675000,35000,32000
18,Madrid,"2,284,765 reviews and opinions","madrid financial cultural hub spain, much southern europe. huge amount see there, well excellent nightlife terms bars, restaurants, clubs entertainment. area inhabited since roman times, also plenty historical sites explore enjoy. extreme, also visit bernabéu stadium, home spanish football giant real madrid. usually popular younger members family, many older ones! art lovers torn prado museum, works 12th 19th centuries including goya, velasquez rubens, go reina sofia museum art 20th century beyond. reina sofia houses picasso's famous painting guernica, well key works artists salvador dali - gets incredibly busy crucial place visit!",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/d9/madrid.jpg,7,950000,70000,20000
19,Marmaris,"202,371 reviews and opinions","gorgeous backdrop pine-clad mountains looms behind seaside resort marmaris southwest turkey. popular cruise ship yacht port british budget holiday crowd, marmaris offers abundance fast food restaurants, restored castle suleyman magnificent appealing cobblestoned old quarter. outside busy town, coves bays datça peninsula make lovely daytrip destinations travelling boat.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/10/54/ac/bf/dsc-0251-largejpg.jpg,10,570000,70000,5000
20,Milan,"2,076,078 reviews and opinions","history lovers know milan trendy shops designer clothes. among city's many historical attractions la scala opera, milan cathedral, national museum science technology santa maria della grazie, church preserves da vinci's ""last supper"".",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f8/04/milan.jpg,9,1200000,200000,14000
21,Brighton,"366,715 reviews and opinions","londoners traveing brighton beach getaways ever since railway arrived 1841. pebbled beach, brighton pier's amusement arcade royal pavilion main sights, also find hundreds pubs clubs catering energetic crowd.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/14/10/2e/0f/brighton.jpg,9,720000,68000,12000
22,Athens,"672,437 reviews and opinions","known smog, traffic tacky architecture, athens city reformed thanks fortunes brought 2004 summer olympics. spotless parks streets, ultra-modern metro, new motorways, accessible airport signs perfect english make city easily negotiable. meriting stopover en route islands, sophisticated athens sites include many pillars western history, acropolis temple olympian zeus, well treasures national archaeological museum.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f9/4c/athens.jpg,8,650000,72000,13500
23,Venice,"1,220,729 reviews and opinions","gondolas, canals, amazing restaurants, unforgettable romantic ambiance, venice definitely city one's bucket list. waterfront palazzos, palaces, churches make drifting grand canal feel like cruising painting. really experience venice must go opera classical music performance, nibble fresh pasta pastries, linger exhibit halls art gallery. label lovers drool high-end shopping piazza san marco.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4e/87/venice.jpg,8,845000,100000,20000
24,Moscow,"786,872 reviews and opinions","political, scientific, historical, architectural business centre russia, moscow displays country's contrasts extreme. ancient modern exist side side city 10 million. catch metro one ornate stations see red square, kremlin, nine domes st basil's cathedral, lenin's mausoleum, kgb museum symbols moscow's great terrible past, lighten go shopping boulevard ring, people-watch pushkin square.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/fd/62/moscow.jpg,1,890000,5000,80000
